sourceSchema;targetSchema;version;output;outputName
Model;model;1.0;1;Model
Manufacturer;manufacturer;1.0;1;Manufacturer
Registered.in;created;1.0;;
HardDrive.1.lifetime..years.;HardDrive.1.lifetime;1.0;;
HardDrive.1.reading.speed;HardDrive.1.readingSpeed;1.0;;
HardDrive.1.writing.speed;HardDrive.1.writingSpeed;1.0;;
HDD..MB.;HardDrive.1.size;1.0;;
NotExists;HardDrive.2.lifetime;1.0;;
NotExists;HardDrive.2.readingSpeed;1.0;;
NotExists;HardDrive.2.writingSpeed;1.0;;
NotExists;HardDrive.2.size;1.0;;
NotExists;HardDrive.3.lifetime;1.0;;
NotExists;HardDrive.3.readingSpeed;1.0;;
NotExists;HardDrive.3.writingSpeed;1.0;;
NotExists;HardDrive.3.size;1.0;;
Processor.1.model;Processor.1.model;1.0;1;Processor.Name
Processor.1.number.of.cores;Processor.1.numberOfCores;1.0;1;Processor.Cores
Processor.1.score;Processor.1.score;1.0;1;Processor.Speed
Processor.2.model;Processor.2.model;1.0;;
Processor.2.number.of.cores;Processor.2.numberOfCores;1.0;;
Processor.2.score;Processor.2.score;1.0;;
Processor.3.model;Processor.3.model;1.0;;
Processor.3.number.of.cores;Processor.3.numberOfCores;1.0;;
Processor.3.score;Processor.3.score;1.0;;
Processor.4.model;Processor.4.model;1.0;;
Processor.4.number.of.cores;Processor.4.numberOfCores;1.0;;
Processor.4.score;Processor.4.score;1.0;;
RamModule.1.size;RamModule.1.size;1.0;;
RamModule.1.speed;RamModule.1.speed;1.0;;
RamModule.2.size;RamModule.2.size;1.0;;
RamModule.2.speed;RamModule.2.speed;1.0;;
RamModule.3.size;RamModule.3.size;1.0;;
RamModule.3.speed;RamModule.3.speed;1.0;;
RamModule.4.size;RamModule.4.size;1.0;;
RamModule.4.speed;RamModule.4.speed;1.0;;
RamModule.5.size;RamModule.5.size;1.0;;
RamModule.5.speed;RamModule.5.speed;1.0;;
Identifier;Identifier;1.0;1;Identifier
Serial.Number;serial.number;1.0;1;Serial.Number
State;state;1.0;1;State
Type;type;1.0;1;Type
Subtype;subtype;1.0;1;Subtype
Processor;processor;1.0;1;Processor
Appearance;appearance;1.0;1;Appearance
Functionality;functionality;1.0;1;Functionality
Bios;bios;1.0;;
;Processor.1.speed;1.0;1;Processor.Speed
;Ram.size;1.0;1;Ram.Size
;Ram.speed;1.0;1;Ram.Speed
;Drive.size;1.0;1;Drive.Size
;Drive.readingSpeed;1.0;1;Drive.ReadingSpeed
;Drive.writingSpeed;1.0;1;Drive.WritingSpeed
;Processor.score;1.0;1;Processor.Score
;Ram.score;1.0;1;Ram.Score
;Drive.score;1.0;1;Drive.Score
;appearance.score;1.0;1;Appearance.Score
;functionality.score;1.0;1;Functionality.Score
;Score;1.0;1;Condition.Score
;Range;1.0;1;Condition
